Code,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes
UIS.GTVP.3.V.F,"Percentage of female students in upper secondary education enrolled in vocational programmes, female (%)",,"Total number of female students enrolled in vocational programmes at the upper secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the upper secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GTVP.3.GPV.F,"Percentage of female students in upper secondary education enrolled in general programmes, female (%)",,"Total number of female students enrolled in general programmes at the upper secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the upper secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.ENRL.FE.VO.ZS,"Percentage of female students in secondary education enrolled in vocational programmes, female (%)",,"Total number of female students enrolled in vocational programmes at the secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GTVP.23.GPV.F,"Percentage of female students in secondary education enrolled in general programmes, female (%)",,"Total number of female students enrolled in general programmes at the secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GTVP.2.V.F,"Percentage of female students in lower secondary education enrolled in vocational programmes, female (%)",,"Total number of female students enrolled in vocational programmes at the lower secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the lower secondary level. Vocational education is designed for learners to acquire the knowledge, skills and competencies specific to a particular occupation or trade or class of occupations or trades. Vocational education may have work-based components (e.g. apprenticeships). Successful completion of such programmes leads to labour-market relevant vocational qualifications acknowledged as occupationally-oriented by the relevant national authorities and/or the labour market.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GTVP.2.GPV.F,"Percentage of female students in lower secondary education enrolled in general programmes, female (%)",,"Total number of female students enrolled in general programmes at the lower secondary education level, expressed as a percentage of the total number of female students enrolled in all programmes (vocational and general) at the lower secondary level. General education is designed to develop learners’ general knowledge, skills and competencies and literacy and numeracy skills, often to prepare students for more advanced educational programmes at the same or higher ISCED levels and to lay the foundation for lifelong learning. General educational programmes are typically school- or college-based. General education includes educational programmes that are designed to prepare students for entry into vocational education, but that do not prepare for employment in a particular occupation or trade or class of occupations or trades, nor lead directly to a labour market relevant qualification.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.UAEP.1.F,"Percentage of female students enrolled in primary education who are under-age, female (%)",,Female students who are younger than the official school-age range for primary education as a percentage of the total number of female students enrolled in primary education.,UNESCO Institute for Statistics,Primary,,,,,,,,
UIS.OAEP.1.F,"Percentage of female students enrolled in primary education who are over-age, female (%)",,Total number of female over-age students in primary education institutions as a percentage of total female enrolments in primary education institutions.,UNESCO Institute for Statistics,Primary,,,,,,,,
UIS.PRP.3,Percentage of enrolment in upper secondary education in private institutions (%),,"Total number of students in upper secondary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in upper secondary education.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.PRIV.ZS,Percentage of enrolment in secondary education in private institutions (%),,"Total number of students in secondary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in secondary education.",UNESCO Institute for Statistics,Secondary,,,,,,,,
