GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
04,2000,Arizona,USA,5130632.0,13.91,607773.0,31.97,619.0,40558.0,121300.0,26.6,63.82,2.92,25.25,4.55,1.74,0.11,1.49,0.12,86683.0,41600.0,6.84,14.26,1,0,0
04,2001,Arizona,USA,5130632.0,13.91,627925.0,31.97,619.0,40558.0,121300.0,26.6,63.82,2.92,25.25,4.55,1.74,0.11,1.49,0.12,92061.0,48061.0,7.65,14.66,1,0,0
04,2002,Arizona,USA,5130632.0,13.91,648077.0,31.97,619.0,40558.0,121300.0,26.6,63.82,2.92,25.25,4.55,1.74,0.11,1.49,0.12,92308.0,51050.0,7.88,14.24,1,0,0
04,2003,Arizona,USA,5130632.0,13.91,668231.0,31.97,619.0,40558.0,121300.0,26.6,63.82,2.92,25.25,4.55,1.74,0.11,1.49,0.12,91739.0,51690.0,7.74,13.73,1,0,0
04,2004,Arizona,USA,5130632.0,13.91,688384.0,31.97,619.0,40558.0,121300.0,26.6,63.82,2.92,25.25,4.55,1.74,0.11,1.49,0.12,98325.0,54879.0,7.97,14.28,1,0,0
04,2005,Arizona,USA,6324865.0,10.49,675825.0,31.71,836.0,50296.0,218400.0,30.0,58.5,3.42,29.75,4.11,2.35,0.16,1.5,0.19,97066.0,53586.0,7.93,14.36,1,0,0
04,2006,Arizona,USA,6324865.0,10.49,233731.0,31.71,836.0,50296.0,218400.0,30.0,58.5,3.42,29.75,4.11,2.35,0.16,1.5,0.19,20704.0,11804.0,5.05,8.86,1,0,0
04,2007,Arizona,USA,6324865.0,10.49,196773.0,31.71,836.0,50296.0,218400.0,30.0,58.5,3.42,29.75,4.11,2.35,0.16,1.5,0.19,18680.0,10683.0,5.43,9.49,1,0,0
04,2008,Arizona,USA,6324865.0,10.49,196399.0,31.71,836.0,50296.0,218400.0,30.0,58.5,3.42,29.75,4.11,2.35,0.16,1.5,0.19,18606.0,10985.0,5.59,9.47,1,0,0
04,2009,Arizona,USA,6324865.0,10.49,200977.0,31.71,836.0,50296.0,218400.0,30.0,58.5,3.42,29.75,4.11,2.35,0.16,1.5,0.19,15272.0,9022.0,4.49,7.6,1,0,0
04,2010,Arizona,USA,6392017.0,12.43,175596.0,33.99,891.0,50256.0,175900.0,31.0,57.82,3.74,29.65,4.03,2.67,0.17,1.79,0.13,13149.0,7634.0,4.35,7.49,1,0,0
04,2011,Arizona,USA,6641928.0,13.29,179892.0,37.24,913.0,50255.0,167500.0,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,13244.0,7066.0,3.93,7.36,1,0,0
04,2012,Arizona,USA,6641928.0,13.29,184188.0,37.24,913.0,50255.0,167500.0,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,13790.0,8235.0,4.47,7.49,1,0,0
04,2013,Arizona,USA,6641928.0,13.29,199114.0,37.24,913.0,50255.0,167500.0,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,14339.0,8632.0,4.34,7.2,1,0,0
04,2014,Arizona,USA,6641928.0,13.29,203620.0,37.24,913.0,50255.0,167500.0,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,7808.0,6375.0,3.13,3.83,1,0,0
04,2015,Arizona,USA,6641928.0,13.29,208123.0,37.24,913.0,50255.0,167500.0,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,9434.0,8209.0,3.94,4.53,1,0,0
04,2016,Arizona,USA,6641928.0,13.29,212626.0,37.24,913.0,50255.0,167500.0,30.1,56.5,3.98,30.33,3.99,2.93,0.17,1.99,0.11,12132.0,8339.0,3.92,5.71,1,0,0
