GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
06,2000,California,USA,33871648.0,14.22,4158366.0,43.09,747.0,47493.0,211500.0,27.7,46.7,6.44,32.38,0.53,10.77,0.31,2.67,0.21,107580.0,103602.0,2.49,2.59,1,0,0
06,2001,California,USA,33871648.0,14.22,4338669.0,43.09,747.0,47493.0,211500.0,27.7,46.7,6.44,32.38,0.53,10.77,0.31,2.67,0.21,111701.0,98215.0,2.26,2.57,1,0,0
06,2002,California,USA,33871648.0,14.22,4350862.0,43.09,747.0,47493.0,211500.0,27.7,46.7,6.44,32.38,0.53,10.77,0.31,2.67,0.21,112488.0,88314.0,2.03,2.59,1,0,0
06,2003,California,USA,33871648.0,14.22,4317631.0,43.09,747.0,47493.0,211500.0,27.7,46.7,6.44,32.38,0.53,10.77,0.31,2.67,0.21,109924.0,81011.0,1.88,2.55,1,0,0
06,2004,California,USA,33871648.0,14.22,4278358.0,43.09,747.0,47493.0,211500.0,27.7,46.7,6.44,32.38,0.53,10.77,0.31,2.67,0.21,90549.0,76581.0,1.79,2.12,1,0,0
06,2005,California,USA,36308527.0,9.84,4306446.0,42.06,1116.0,60392.0,479200.0,32.3,42.54,5.98,36.09,0.45,12.15,0.34,2.1,0.35,81462.0,71664.0,1.66,1.89,1,0,0
06,2006,California,USA,36308527.0,9.84,4659859.0,42.06,1116.0,60392.0,479200.0,32.3,42.54,5.98,36.09,0.45,12.15,0.34,2.1,0.35,86633.0,77341.0,1.66,1.86,1,0,0
06,2007,California,USA,36308527.0,9.84,4813299.0,42.06,1116.0,60392.0,479200.0,32.3,42.54,5.98,36.09,0.45,12.15,0.34,2.1,0.35,95679.0,84931.0,1.76,1.99,1,0,0
06,2008,California,USA,36308527.0,9.84,4864402.0,42.06,1116.0,60392.0,479200.0,32.3,42.54,5.98,36.09,0.45,12.15,0.34,2.1,0.35,122203.0,103031.0,2.12,2.51,1,0,0
06,2009,California,USA,36308527.0,9.84,5006871.0,42.06,1116.0,60392.0,479200.0,32.3,42.54,5.98,36.09,0.45,12.15,0.34,2.1,0.35,117241.0,100511.0,2.01,2.34,1,0,0
06,2010,California,USA,37253956.0,11.47,4980453.0,44.06,1209.0,61400.0,383900.0,33.5,40.15,5.81,37.62,0.44,12.82,0.35,2.6,0.23,110779.0,96363.0,1.93,2.22,1,0,0
06,2011,California,USA,38421464.0,12.18,4488791.0,45.67,1255.0,61818.0,385500.0,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,82173.0,71103.0,1.58,1.83,1,0,0
06,2012,California,USA,38421464.0,12.18,4519903.0,45.67,1255.0,61818.0,385500.0,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,73144.0,63284.0,1.4,1.62,1,0,0
06,2013,California,USA,38421464.0,12.18,4569754.0,45.67,1255.0,61818.0,385500.0,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,68656.0,58970.0,1.29,1.5,1,0,0
06,2014,California,USA,38421464.0,12.18,4915846.0,45.67,1255.0,61818.0,385500.0,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,65454.0,55626.0,1.13,1.33,1,0,0
06,2015,California,USA,38421464.0,12.18,4838246.0,45.67,1255.0,61818.0,385500.0,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,51875.0,44294.0,0.92,1.07,1,0,0
06,2016,California,USA,38421464.0,12.18,4947085.0,45.67,1255.0,61818.0,385500.0,33.7,38.73,5.62,38.39,0.37,13.51,0.36,2.79,0.22,47079.0,41178.0,0.83,0.95,1,0,0
