GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
13,2000,Georgia,USA,8186453.0,12.99,435665.0,32.5,613.0,42433.0,111200.0,24.9,62.65,28.48,5.32,0.22,2.1,0.04,1.07,0.14,73939.0,24718.0,5.67,16.97,0,0,0
13,2001,Georgia,USA,8186453.0,12.99,734181.0,32.5,613.0,42433.0,111200.0,24.9,62.65,28.48,5.32,0.22,2.1,0.04,1.07,0.14,142770.0,35966.0,4.9,19.45,0,0,0
13,2002,Georgia,USA,8186453.0,12.99,786206.0,32.5,613.0,42433.0,111200.0,24.9,62.65,28.48,5.32,0.22,2.1,0.04,1.07,0.14,154809.0,42029.0,5.35,19.69,0,0,0
13,2003,Georgia,USA,8186453.0,12.99,858008.0,32.5,613.0,42433.0,111200.0,24.9,62.65,28.48,5.32,0.22,2.1,0.04,1.07,0.14,178557.0,49775.0,5.8,20.81,0,0,0
13,2004,Georgia,USA,8186453.0,12.99,844944.0,32.5,613.0,42433.0,111200.0,24.9,62.65,28.48,5.32,0.22,2.1,0.04,1.07,0.14,180423.0,47468.0,5.62,21.35,0,0,0
13,2005,Georgia,USA,9497667.0,11.41,930383.0,32.48,787.0,49466.0,160100.0,30.0,58.37,29.4,7.74,0.21,2.81,0.04,1.14,0.3,189141.0,57347.0,6.16,20.33,0,0,0
13,2006,Georgia,USA,9497667.0,11.41,925856.0,32.48,787.0,49466.0,160100.0,30.0,58.37,29.4,7.74,0.21,2.81,0.04,1.14,0.3,192719.0,58126.0,6.28,20.82,0,0,0
13,2007,Georgia,USA,9497667.0,11.41,906619.0,32.48,787.0,49466.0,160100.0,30.0,58.37,29.4,7.74,0.21,2.81,0.04,1.14,0.3,203571.0,64462.0,7.11,22.45,0,0,0
13,2008,Georgia,USA,9497667.0,11.41,922030.0,32.48,787.0,49466.0,160100.0,30.0,58.37,29.4,7.74,0.21,2.81,0.04,1.14,0.3,204662.0,62583.0,6.79,22.2,0,0,0
13,2009,Georgia,USA,9497667.0,11.41,939964.0,32.48,787.0,49466.0,160100.0,30.0,58.37,29.4,7.74,0.21,2.81,0.04,1.14,0.3,185344.0,64301.0,6.84,19.72,0,0,0
13,2010,Georgia,USA,9687653.0,13.35,1003699.0,34.34,849.0,49604.0,156400.0,31.7,55.88,30.05,8.81,0.22,3.22,0.05,1.57,0.2,201247.0,71956.0,7.17,20.05,0,0,0
13,2011,Georgia,USA,10006693.0,14.16,993724.0,36.67,879.0,49620.0,148100.0,31.3,54.57,30.52,9.15,0.18,3.58,0.04,1.73,0.23,202194.0,75330.0,7.58,20.35,0,0,0
13,2012,Georgia,USA,10006693.0,14.16,1012013.0,36.67,879.0,49620.0,148100.0,31.3,54.57,30.52,9.15,0.18,3.58,0.04,1.73,0.23,198972.0,73039.0,7.22,19.66,0,0,0
13,2013,Georgia,USA,10006693.0,14.16,1065945.0,36.67,879.0,49620.0,148100.0,31.3,54.57,30.52,9.15,0.18,3.58,0.04,1.73,0.23,185690.0,58931.0,5.53,17.42,0,0,0
13,2014,Georgia,USA,10006693.0,14.16,1117307.0,36.67,879.0,49620.0,148100.0,31.3,54.57,30.52,9.15,0.18,3.58,0.04,1.73,0.23,205725.0,58957.0,5.28,18.41,0,0,0
13,2015,Georgia,USA,10006693.0,14.16,1163862.0,36.67,879.0,49620.0,148100.0,31.3,54.57,30.52,9.15,0.18,3.58,0.04,1.73,0.23,206556.0,61833.0,5.31,17.75,0,0,0
13,2016,Georgia,USA,10006693.0,14.16,1208418.0,36.67,879.0,49620.0,148100.0,31.3,54.57,30.52,9.15,0.18,3.58,0.04,1.73,0.23,203212.0,56963.0,4.71,16.82,0,0,0
