GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
54,2000,West Virginia,USA,1808344.0,17.9,28555.0,24.82,401.0,29696.0,72800.0,25.8,94.56,3.14,0.68,0.19,0.52,0.02,0.83,0.06,135.0,134.0,0.47,0.47,0,0,0
54,2001,West Virginia,USA,1808344.0,17.9,113034.0,24.82,401.0,29696.0,72800.0,25.8,94.56,3.14,0.68,0.19,0.52,0.02,0.83,0.06,2807.0,2256.0,2.0,2.48,0,0,0
54,2002,West Virginia,USA,1808344.0,17.9,78711.0,24.82,401.0,29696.0,72800.0,25.8,94.56,3.14,0.68,0.19,0.52,0.02,0.83,0.06,1272.0,1021.0,1.3,1.62,0,0,0
54,2003,West Virginia,USA,1808344.0,17.9,106623.0,24.82,401.0,29696.0,72800.0,25.8,94.56,3.14,0.68,0.19,0.52,0.02,0.83,0.06,2299.0,2095.0,1.96,2.16,0,0,0
54,2004,West Virginia,USA,1808344.0,17.9,114691.0,24.82,401.0,29696.0,72800.0,25.8,94.56,3.14,0.68,0.19,0.52,0.02,0.83,0.06,2692.0,2364.0,2.06,2.35,0,0,0
54,2005,West Virginia,USA,1811403.0,13.2,108867.0,25.73,534.0,37356.0,91400.0,28.7,93.47,3.25,1.08,0.16,0.63,0.03,1.32,0.06,2628.0,2191.0,2.01,2.41,0,0,0
54,2006,West Virginia,USA,1811403.0,13.2,124697.0,25.73,534.0,37356.0,91400.0,28.7,93.47,3.25,1.08,0.16,0.63,0.03,1.32,0.06,3348.0,2893.0,2.32,2.68,0,0,0
54,2007,West Virginia,USA,1811403.0,13.2,155853.0,25.73,534.0,37356.0,91400.0,28.7,93.47,3.25,1.08,0.16,0.63,0.03,1.32,0.06,5311.0,4956.0,3.18,3.41,0,0,0
54,2008,West Virginia,USA,1811403.0,13.2,169758.0,25.73,534.0,37356.0,91400.0,28.7,93.47,3.25,1.08,0.16,0.63,0.03,1.32,0.06,6285.0,5689.0,3.35,3.7,0,0,0
54,2009,West Virginia,USA,1811403.0,13.2,189540.0,25.73,534.0,37356.0,91400.0,28.7,93.47,3.25,1.08,0.16,0.63,0.03,1.32,0.06,7629.0,6847.0,3.61,4.03,0,0,0
54,2010,West Virginia,USA,1852994.0,12.85,189162.0,26.55,594.0,40400.0,97300.0,29.3,93.16,3.35,1.2,0.19,0.66,0.02,1.35,0.06,7670.0,6859.0,3.63,4.05,0,0,0
54,2011,West Virginia,USA,1851420.0,13.07,200779.0,27.48,643.0,41751.0,103800.0,28.9,92.55,3.26,1.37,0.15,0.72,0.03,1.85,0.07,8724.0,7800.0,3.88,4.35,0,0,0
54,2012,West Virginia,USA,1851420.0,13.07,206178.0,27.48,643.0,41751.0,103800.0,28.9,92.55,3.26,1.37,0.15,0.72,0.03,1.85,0.07,8968.0,8020.0,3.89,4.35,0,0,0
54,2013,West Virginia,USA,1851420.0,13.07,215359.0,27.48,643.0,41751.0,103800.0,28.9,92.55,3.26,1.37,0.15,0.72,0.03,1.85,0.07,9359.0,8354.0,3.88,4.35,0,0,0
54,2014,West Virginia,USA,1851420.0,13.07,220832.0,27.48,643.0,41751.0,103800.0,28.9,92.55,3.26,1.37,0.15,0.72,0.03,1.85,0.07,9296.0,8278.0,3.75,4.21,0,0,0
54,2015,West Virginia,USA,1851420.0,13.07,229104.0,27.48,643.0,41751.0,103800.0,28.9,92.55,3.26,1.37,0.15,0.72,0.03,1.85,0.07,9303.0,7921.0,3.46,4.06,0,0,0
54,2016,West Virginia,USA,1851420.0,13.07,234658.0,27.48,643.0,41751.0,103800.0,28.9,92.55,3.26,1.37,0.15,0.72,0.03,1.85,0.07,10314.0,8268.0,3.52,4.4,0,0,0
