GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
55,2000,Wisconsin,USA,5363675.0,8.66,447270.0,31.57,540.0,43791.0,112200.0,23.4,87.28,5.6,3.6,0.82,1.64,0.03,0.97,0.07,16147.0,14206.0,3.18,3.61,0,0,0
55,2001,Wisconsin,USA,5363675.0,8.66,634915.0,31.57,540.0,43791.0,112200.0,23.4,87.28,5.6,3.6,0.82,1.64,0.03,0.97,0.07,22765.0,17624.0,2.78,3.59,0,0,0
55,2002,Wisconsin,USA,5363675.0,8.66,664644.0,31.57,540.0,43791.0,112200.0,23.4,87.28,5.6,3.6,0.82,1.64,0.03,0.97,0.07,23280.0,14593.0,2.2,3.5,0,0,0
55,2003,Wisconsin,USA,5363675.0,8.66,666748.0,31.57,540.0,43791.0,112200.0,23.4,87.28,5.6,3.6,0.82,1.64,0.03,0.97,0.07,24318.0,19325.0,2.9,3.65,0,0,0
55,2004,Wisconsin,USA,5363675.0,8.66,673558.0,31.57,540.0,43791.0,112200.0,23.4,87.28,5.6,3.6,0.82,1.64,0.03,0.97,0.07,31412.0,24328.0,3.61,4.66,0,0,0
55,2005,Wisconsin,USA,5599420.0,7.23,680369.0,30.15,700.0,51569.0,166100.0,28.3,85.06,5.86,4.93,0.79,2.05,0.02,1.18,0.11,26412.0,19377.0,2.85,3.88,0,0,0
55,2006,Wisconsin,USA,5599420.0,7.23,695233.0,30.15,700.0,51569.0,166100.0,28.3,85.06,5.86,4.93,0.79,2.05,0.02,1.18,0.11,25410.0,19139.0,2.75,3.65,0,0,0
55,2007,Wisconsin,USA,5599420.0,7.23,707202.0,30.15,700.0,51569.0,166100.0,28.3,85.06,5.86,4.93,0.79,2.05,0.02,1.18,0.11,25908.0,16396.0,2.32,3.66,0,0,0
55,2008,Wisconsin,USA,5599420.0,7.23,714205.0,30.15,700.0,51569.0,166100.0,28.3,85.06,5.86,4.93,0.79,2.05,0.02,1.18,0.11,27927.0,16570.0,2.32,3.91,0,0,0
55,2009,Wisconsin,USA,5599420.0,7.23,721207.0,30.15,700.0,51569.0,166100.0,28.3,85.06,5.86,4.93,0.79,2.05,0.02,1.18,0.11,27093.0,15566.0,2.16,3.76,0,0,0
55,2010,Wisconsin,USA,5686986.0,8.36,728210.0,31.94,749.0,52627.0,169000.0,29.2,83.32,6.17,5.91,0.85,2.25,0.03,1.4,0.07,26802.0,15225.0,2.09,3.68,0,0,0
55,2011,Wisconsin,USA,5742117.0,8.63,738132.0,32.7,776.0,53357.0,165800.0,28.9,82.37,6.17,6.35,0.8,2.49,0.02,1.73,0.07,28047.0,15869.0,2.15,3.8,0,0,0
55,2012,Wisconsin,USA,5742117.0,8.63,748053.0,32.7,776.0,53357.0,165800.0,28.9,82.37,6.17,6.35,0.8,2.49,0.02,1.73,0.07,28183.0,15986.0,2.14,3.77,0,0,0
55,2013,Wisconsin,USA,5742117.0,8.63,757975.0,32.7,776.0,53357.0,165800.0,28.9,82.37,6.17,6.35,0.8,2.49,0.02,1.73,0.07,28515.0,15909.0,2.1,3.76,0,0,0
55,2014,Wisconsin,USA,5742117.0,8.63,767896.0,32.7,776.0,53357.0,165800.0,28.9,82.37,6.17,6.35,0.8,2.49,0.02,1.73,0.07,29320.0,16166.0,2.11,3.82,0,0,0
55,2015,Wisconsin,USA,5742117.0,8.63,777818.0,32.7,776.0,53357.0,165800.0,28.9,82.37,6.17,6.35,0.8,2.49,0.02,1.73,0.07,27591.0,15715.0,2.02,3.55,0,0,0
55,2016,Wisconsin,USA,5742117.0,8.63,787739.0,32.7,776.0,53357.0,165800.0,28.9,82.37,6.17,6.35,0.8,2.49,0.02,1.73,0.07,26508.0,14871.0,1.89,3.37,0,0,0
